term,definition,category,rel_terms,abbrev,synonym,refs,alt_def,rel_terms_alt_def,refs_alt_def,drafted_by,reviewed_by,status
Optical Pathlength,"In broader context, the term refers to the trajectory that the light follows within a medium. Path length is the distance obtained as the product of the propagation velocity and the propagation delay between two points. In the propagation of waves, path length is the length that is proportional to the time a wave or signal takes to travel from one point to another.
Within the fNIRS (or optical imaging) framework, it refers to the trajectory that the emitted light follows from source to the detector within the tissue (e.g., scalp, brain, etc.). In tissue or brain imaging scattering is dominant and leads to many different trajectories. The path of light when measured from a source to a detector exhibits a banana-shaped curve and it is directly proportional to the physical length between the source and detector.


",Physics," Differential Path length factor, Photon Banana",OP,,"<p></p><a href=""	https://doi.org/10.1117%2F1.NPh.8.1.012101
"" target=""_blank"">	https://doi.org/10.1117%2F1.NPh.8.1.012101
</a>", , , ,Murat Can Mutlu," Musa Talati, Guy Perkins, Heidrun Wabnitz, Stefan Carp",Complete (agreement from at least 5 team members)
Optical tomography,"Optical tomography describes techniques which generate full three-dimensional (3D) images from measurements taken from sources and detectors covering a substantial part of the surface of the object. Data is obtained from light that has traveled across the object under examination. 
The image reconstruction in optical tomography can be approximately divided into two kinds: the first is a linearization approach and another is a nonlinear iterative approach. The former reconstructs images of measured changes, while the latter enables quantitative image reconstruction of an object.

Nonlinear image reconstruction methods are used due to the use of the diffusion approximation, and typically these generate images that can be shown on a three dimensional tissue volume. It is also possible to attempt to separate the effects of absorption and scatter, which requires measurements of both the intensity and the mean flight time (or, equivalently, phase) of the transmitted light because (in the absence of prior information) measurements of intensity only are unable to distinguish between absorption and scatter at a single wavelength. 

There are several different techniques for performing tomography in NIRS, including diffuse optical tomography (DOT) and functional diffuse optical tomography (fDOT). These techniques use sophisticated algorithms and mathematical models to reconstruct the distribution of changes in hemoglobin concentration within the tissue of interest, e.g the brain, or breast.

",Physics, Diffuse optical tomography,, ,"<p></p><a href=""	https://doi.org/10.1016/B978-0-12-386456-7.07605-X
"" target=""_blank"">	https://doi.org/10.1016/B978-0-12-386456-7.07605-X
</a><p></p><a href=""	https://doi.org/10.1063/1.5086809 
"" target=""_blank"">	https://doi.org/10.1063/1.5086809 
</a><p></p>
<p></p>
"," Tomography is a general term for the reconstruction of the image of sections of a volume using energy which penetrates the volume. In the context of optical near-infrared spectroscopy, tomography refers to the reconstruction of the optical or physiological properties of a volume with illumination and detection on the surface or embedded in the volume. There are several different techniques for performing tomography in NIRS, including diffuse optical tomography (DOT) and functional diffuse optical tomography (fDOT). These techniques use sophisticated algorithms and mathematical models to reconstruct the distribution of changes in hemoglobin concentration within the tissue of interest, e.g brain, breast etc.", , ,OntoNIRS," Guy Perkins, Stefan Carp, Yoko Hoshi",Status: Complete (agreement from < 5 team members)
Optical topography,"Methods which produce two-dimensional (2D) images of a plane parallel to the sources and detectors with limited depth information. It refers to imaging a few centimeters of tissue (the separation between source and detector is generally $< 4$ cm). The typical application is imaging haemodynamic changes in the cortex of the brain, where we are interested in imaging a change in optical properties with a time course of a few seconds. Such systems generally employ continuous-wave instrumentation with laser diode sources modulated at a few kilohertz and lock-in detectors. Images are usually reconstructed using a linear approach and presented as a two-dimensional slice parallel to the plane of sources and detectors. ",Physics," Functional Near Infrared Spectroscopy, Diffuse Optical Tomography",, ,"<p></p><a href=""	https://doi.org/10.1016/B978-0-12-386456-7.07605-X
"" target=""_blank"">	https://doi.org/10.1016/B978-0-12-386456-7.07605-X
</a>", , , ,OntoNIRS," Guy Perkins, Stefan Carp",Status: Complete (agreement from < 5 team members)
Optical window,"The optical window for biological tissues defines a range of wavelengths (650-900 nm) where light can penetrate through tissues such as skin and bone more efficiently than visible light because these tissues scatter and absorb less light at these wavelengths, rendering them nearly transparent. fNIRS takes advantage of this window, where water absorption is low and oxygenated and deoxygenated hemoglobin are strong absorbers of light at these wavelengths, with contrasting levels of absorption coefficient in this range.",Physics,"oxygenated hemoglobin, deoxygenated hemoglobin, absorption spectrum, absorption coefficient",,near-infrared window; therapeutic window,"<p></p><a href=""	https://doi.org/10.1038/nnano.2009.326
"" target=""_blank"">	https://doi.org/10.1038/nnano.2009.326
</a><p></p><a href=""https://doi.org/10.1038/s41377-021-00628-0
"" target=""_blank"">https://doi.org/10.1038/s41377-021-00628-0
</a>", , , ,Divya Jain," Musa Talati, Guy Perkins, Stefan Carp",Status: Complete (agreement from < 5 team members) 
Optode-scalp coupling,Optode-scalp coupling refers to how well an optode is connected to the scalp. Effective optode-scalp coupling ensures the transmission of light from the emitter to the tissue and detection from tissue to the detector. Often it is hair that obstructs the delivery and collection of light at the optode. ,Physics,,,Source-detector coupling ,"<p></p><a href=""	https://doi.org/10.1364%2FBOE.7.005104
"" target=""_blank"">	https://doi.org/10.1364%2FBOE.7.005104
</a>", , , ,Rob J. MacLennan," Musa Talati, Guy Perkins, Stefan Carp",Status: Complete (agreement from < 5 team members) 
Partial pathlength,"The path light travels within the fraction of tissue that is of interest, e.g., for functional brain activity, i.e. as opposed to the entire path between the source and detector. For example, the pathlength of the light is different in the scalp layer when compared to the CSF layer. Estimates of partial pathlengths are often obtained from Monte Carlo simulations, which numerically simulate the path taken by individual photons in tissue. It is the path only in the activated region in the inter-optode distance, multiplied by partial pathlength factor (PPF), which is the scaling factor that relates inter-optode distance to the average pathlength light travels within the activated region. 

",Physics,,,,"<p></p><a href=""	https://doi.org/10.1364%2FBOE.7.005104
"" target=""_blank"">	https://doi.org/10.1364%2FBOE.7.005104
</a>", , , ,OntoNIRS," Stefan Carp, Guy Perkins, Yoko Hoshi",Status: Complete (agreement from < 5 team members)
Path length factor,"In functional near-infrared spectroscopy (fNIRS), the path length factor (PLF) is a correction factor that is used to account for the length of the optical path through the tissue being measured. This scaling factor  is applied to the measured changes in optical density to account for the fact that light travels a longer distance or follows a banana shaped path rather than a straight way through the tissue when the source and detector are further apart. The PLF is typically calculated using a Monte Carlo simulation, which models the propagation of light through the tissue and calculates the average path length of the photons. The PLF is an important correction factor in fNIRS because it affects the accuracy of the measurements of changes in hemoglobin concentration. Without the PLF correction, the changes in optical density would be underestimated when the source and detector are further apart, leading to inaccurate estimates of the underlying neural activity.",Physics,Differential path length factor,PLF,,"<p></p><a href=""https://doi.org/10.1016/j.neuroimage.2013.05.004
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2013.05.004
</a>", , , ,Hanieh Zainodini," Usama A Syed, Talukdar Raian Ferdous, Guy Perkins",Complete (agreement from < 5 team members)
Partial volume effect,"The partial volume effect can be defined as the loss of contrast in small objects or regions due to the limited resolution of the imaging system. Thus, it refers to the underestimation of the concentration changes of hemoglobin due to the fact that they occur in small focal regions rather than in the entire sampling region. ",Physics,Partial volume error,PVE,,"<p></p><a href=""	https://doi.org/10.1117/1.nph.8.1.012101
"" target=""_blank"">	https://doi.org/10.1117/1.nph.8.1.012101
</a>", , , ,OntoNIRS," Anna Exner, Guy Perkins, Stefan Carp",Status: Complete (agreement from < 5 team members)
Partial volume error,It is the error that occurs when the partial pathlength and partial volume effects are not considered. ,Physics,Partial volume effect,,,"<p></p><a href=""	https://doi.org/10.1117/1.nph.8.1.012101
"" target=""_blank"">	https://doi.org/10.1117/1.nph.8.1.012101
</a>", , , ,OntoNIRS," Guy Perkins, Stefan Carp",Status: Complete (agreement from < 5 team members)
Penetration depth,"The depth to which light can penetrate tissue to the extent of several centimeters is known as penetration depth. It is influenced by light scattering, absorption, the subject's anatomy, scalp-optode coupling, and the spacing between the light source and the detector. This is on the order of a few mm’s up to 15-20 mm.",Physics," Source Detector Separation, Absorption, Scattering, Photon Banana ",,,"<p></p><a href=""	https://doi.org/10.1117/1.nph.2.2.025005
"" target=""_blank"">	https://doi.org/10.1117/1.nph.2.2.025005
</a><p></p><a href=""	https://doi.org/10.1117/1.nph.6.3.035007
"" target=""_blank"">	https://doi.org/10.1117/1.nph.6.3.035007
</a><p></p><a href=""	https://doi.org/10.1111/nyas.13948
"" target=""_blank"">	https://doi.org/10.1111/nyas.13948
</a><p></p><a href=""https://doi.org/10.1177/1094428116658959
"" target=""_blank"">https://doi.org/10.1177/1094428116658959
</a><p></p><a href=""https://doi.org/10.1371/journal.pone.0026377
"" target=""_blank"">https://doi.org/10.1371/journal.pone.0026377
</a>", , , ,Hanieh Zainodini,"Murat Can Mutlu, Christian Bartkowski , Guy Perkins, Anna Exner, Alessandro Torricelli, Stefan Carp",Complete (agreement from at least 5 team members)
Photon,"An elementary particle that is a quantum (unit) of electromagnetic radiation, such as visible light, often characterized by its frequency or wavelength. They are massless, exhibit wave-particle duality, and travel at $\\sim 3x10^8 m/s$ (c) in a vacuum.",Physics,"Light, Wavelength, Frequency",Gamma (γ) (Not to be confused with gamma radiation),,"<p></p><a href=""	https://doi.org/10.1006/rwsp.2000.0055
"" target=""_blank"">	https://doi.org/10.1006/rwsp.2000.0055
</a>", , , ,Musa Talati," Christian Bartkowski, Guy Perkins, Stefan Carp, Katharina Stute",Complete (agreement from at least 5 team members) 
Photon Banana,The term photon banana refers to the fact that the movement that measured photons will take between a source and detector in a biological tissue in light diffusion simulations appears like a banana shape. ,Physics,Photon Measurement Density Function (PDMF),,,"<p></p><a href=""https://doi.org/10.1017/CBO9781139029797
"" target=""_blank"">https://doi.org/10.1017/CBO9781139029797
</a><p></p><a href=""https://doi.org/10.1109/MEMB.2006.1657788
"" target=""_blank"">https://doi.org/10.1109/MEMB.2006.1657788
</a><p></p><a href=""https://doi.org/10.1117/1.nph.6.3.035007
"" target=""_blank"">https://doi.org/10.1117/1.nph.6.3.035007
</a>", , , ,Guy Perkins," Christian Bartkowski, Samuel Forbes, Heidrun Wabnitz",Status: Complete (agreement from < 5 team members)
Photon Measurement Density Function (PMDF),"The Photon Measurement Density Function (PMDF) is a mathematical function that describes the probability distribution of photons reaching a particular detector or measurement point in a medium. It is obtained from the Green's function of the diffusion equation. The Green's function represents the response of the medium to a point source of light and can be used to calculate the photon density at any point in the medium. By integrating the photon density over the volume of the detector or measurement point, the PMDF can be obtained. The idea of a PMDF is an extension of the notions of a photon-sampling volume and a photon-hitting density. The mathematical formula for the photon-measurement density function (PMDF) depends on the specific measurement type and the properties of the medium being studied. However, in general, the PMDF can be expressed as:

$PMDF(x,t) = \\int V G(x, x’, t) \\rho(x’, t) dV$
where $PMDF(x, t)$ is the photon-measurement density function at a point x and time t, $G(x, x', t)$ is the Green's function of the diffusion equation, which describes the probability distribution of photons reaching point x at time t that originated at point $x'$ at time t=0, $\\rho(x', t)$ is the photon density at point $x'$ and time t, and the integral is taken over the volume V of the detector or measurement point.
",Physics, Photon Transport,PMDF,,"<p></p><a href=""	https://doi.org/10.1364/AO.34.007395
"" target=""_blank"">	https://doi.org/10.1364/AO.34.007395
</a>", , , ,Usama A Syed, Guy Perkins,Status: Complete (agreement from < 5 team members)
